Entity;Code;Year;Government expenditure on education, total (% of GDP);Primary adjusted enrolment ratio (Lee-Lee (2016));Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018));Child mortality rate - Sex: all - Age: 0-4 - Variant: estimates;Mean years of schooling, women (in reproductive age 15 to 49) (Our World In Data (2017));Population (historical estimates);Continent;Literacy rate, adult total (% of people ages 15 and above);;;
Argentina;ARG;1980;2,607150078;90,6;6,72;4,14775;7,520689;28024808;South America;93,91285706;;;
Argentina;ARG;2010;5,019710064;100;9,8;1,52324;10,15166;41100124;South America;98,95497131;;;
Belize;BLZ;2000;5,028429985;100;10,1;2,41889;10,29678;240420;North America;76,90297699;;;
Brazil;BRA;2000;3,948930025;100;5,6;3,4722698;7,323728;175873712;South America;86,36788177;;;
Brazil;BRA;2010;5,648799896;100;6,9;1,8667101;8,885223;196353504;South America;90,37918091;;;
Cameroon;CMR;2000;1,779919982;60,9;4,8;14,362309;5,347186;15091598;Africa;68,4091568;;;
Cameroon;CMR;2010;2,993659973;92,1;5,3;11,008989;6,248414;19878044;Africa;71,29051208;;;
China;CHN;2010;3,754640102;100;7,3;1,58641;8,383776;1348191360;Asia;95,1244812;;;
Colombia;COL;2005;4,020989895;100;6,8;2,1571698;7,91046;42220944;South America;92,84866333;;;
Colombia;COL;2010;4,83382988;100;7,4;1,84913;9,788342;44816104;South America;93,37232971;;;
Costa Rica;CRI;2000;4,666950226;100;8;1,3085301;8,300271;3979189;North America;94,86818695;;;
Cote d'Ivoire;CIV;2000;3,703670025;58,4;3,3;14,294591;2,988317;16799664;Africa;48,7407608;;;
Dominican Republic;DOM;2010;1,900460005;99,2;7,3;3,51334;8,917242;9775756;North America;89,53872681;;;
Ecuador;ECU;2010;4,507430077;100;7,9;1,90087;8,482984;14989581;South America;91,85404205;;;
Egypt;EGY;2005;4,794429779;100;5,6;3,57528;6,288136;79075312;Africa;67,33187103;;;
Egypt;EGY;2010;3,542649984;100;6,5;2,86835;7,258957;87252416;Africa;72,04785156;;;
El Salvador;SLV;2010;4,048079967;100;7,1;1,94296;8,304948;6114039;North America;84,49272156;;;
Eswatini;SWZ;2000;5,508480072;79,7;3,9;11,22528;4,705796;1030504;Africa;81,66069794;;;
Eswatini;SWZ;2010;6,118370056;98,5;5,7;8,51974;4,908533;1099926;Africa;83,09828949;;;
Gambia;GMB;2000;1,465870023;82,3;2;11,34296;1,949296;1437540;Africa;36,81772995;;;
Ghana;GHA;2010;5,540599823;100;6,7;6,9132795;6,885495;25574722;Africa;71,49707031;;;
Greece;GRC;2005;3,963959932;100;9,8;0,45821;11,58058;11113450;Europe;93,04431152;;;
Honduras;HND;2010;6,800000191;100;5,4;2,38819;6,769185;8450936;North America;84,75536346;;;
Iran;IRN;2005;4,056509972;98,6;7;2,66193;7,980223;70182592;Asia;82,44120026;;;
Jordan;JOR;2010;3,099999905;98,4;9,8;1,98603;9,895662;6931263;Asia;92,55104065;;;
Kenya;KEN;2000;5,186729908;90,4;5,3;9,83172;5,082478;30851604;Africa;82,2290802;;;
Kuwait;KWT;1975;2,135540009;68;3,02;5,1336102;2,984009;1096004;Asia;59,56438828;;;
Kuwait;KWT;1980;2,791019917;85;4,28;3,61914;4,303391;1493882;Asia;67,51766205;;;
Kuwait;KWT;1985;5,007619858;85;5,27;2,32045;5,688092;1888982;Asia;74,49086761;;;
Kuwait;KWT;2005;4,738339901;100;5,8;1,15885;6,784239;2235409;Asia;93,27445984;;;
Lesotho;LSO;2000;10,09154987;96,4;4,9;10,67999;7,457135;1998632;Africa;86,25443268;;;
Malawi;MWI;2010;3,539799929;100;4,3;8,39994;4,452305;14718426;Africa;61,30971909;;;
Malaysia;MYS;1980;5,72619009;95;4,41;3,02906;5,037806;13215709;Asia;69,5163269;;;
Malaysia;MYS;2000;5,971610069;98;8,6;1,0210301;9,615869;22945152;Asia;88,6877594;;;
Malaysia;MYS;2010;4,966450214;100;9,8;0,80642;11,37797;28717728;Asia;93,1178894;;;
Mali;MLI;2010;3,343889952;78,4;2;13,07974;2,103305;15529183;Africa;31,09975052;;;
Malta;MLT;1985;3,248339891;89;7,27;2,26182;8,613736;349122;Europe;86,92984009;;;
Mauritius;MUS;1990;3,170340061;92;5,7;2,29947;6,439262;1090296;Africa;79,86865997;;;
Mauritius;MUS;2000;3,769109964;100;6,2;1,87714;7,163043;1215930;Africa;84,30309296;;;
Mexico;MEX;1990;2,324980021;100;5,56;4,53891;6,310783;81720424;North America;87,55615234;;;
Mexico;MEX;2000;3,992439985;99,4;6,7;2,83504;7,890986;97873448;North America;90,53562164;;;
Mexico;MEX;2005;4,845689774;97,3;7,6;2,29582;8,951446;105442400;North America;91,63027191;;;
Mexico;MEX;2010;5,159220219;100;8;1,9186399;9,425871;112532400;North America;93,06893921;;;
Pakistan;PAK;2005;2,049720049;81,4;4,5;9,90548;3,603048;174372096;Asia;49,87363815;;;
Pakistan;PAK;2010;2,286870003;90,9;4,7;8,754061;3,871628;194454496;Asia;55,37519073;;;
