Name;Code;Year;Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet high in sodium - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet low in whole grains - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Alcohol use - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet low in fruits - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Unsafe water source - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Low birth weight - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Child wasting - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet low in nuts and seeds - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet low in vegetables - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Unsafe sanitation - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: No access to handwashing facility - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Drug use - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Discontinued breastfeeding - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number)
Afghanistan;AFG;1990;3169;1045;7077;356;3185;3702;16135;19546;2319;34372;3679;5174;37231;2798;4825;174;107;2216
African Region (WHO);;1990;93970;46758;45763;175615;43476;809960;625281;1190356;13267;776993;37123;175454;868866;604349;473096;8214;10812;168704
Albania;ALB;1990;1017;1561;741;289;344;53;731;840;309;1978;186;2752;2965;31;67;64;2;171
Algeria;DZA;1990;11189;1159;8051;496;2847;1851;14803;6791;3968;3086;2513;13780;14223;1233;822;296;125;1464
American Samoa;ASM;1990;4;2;7;3;4;2;9;5;0;11;4;34;15;1;1;1;0;0
Andorra;AND;1990;10;3;9;22;2;0;1;0;1;0;1;60;10;0;0;2;0;0
Angola;AGO;1990;1359;499;904;3177;1006;31350;16517;42373;419;19242;854;4507;20506;22756;16208;56;488;6965
Antigua and Barbuda;ATG;1990;23;9;23;11;5;2;9;4;5;3;8;24;26;1;3;1;0;0
Argentina;ARG;1990;11615;6717;12837;18840;4172;827;7612;2470;5851;3964;4459;46415;15552;487;827;1605;30;334
Armenia;ARM;1990;2247;1182;1877;470;500;182;1090;692;973;941;86;4243;3164;190;106;21;20;210
Australia;AUS;1990;2415;1189;5443;6051;2689;8;747;78;1128;143;1970;24759;2555;4;43;1164;0;7
Austria;AUT;1990;5382;2409;3414;5354;1117;1;255;14;844;52;1413;12730;5410;0;15;408;0;3
Azerbaijan;AZE;1990;3858;2623;3818;2481;1099;1090;3747;5020;1300;4140;509;6927;7968;901;758;101;83;1518
Bahamas;BHS;1990;60;24;48;103;21;5;45;13;20;8;9;93;68;2;5;4;0;2
Bahrain;BHR;1990;297;17;143;49;17;4;126;13;27;26;14;311;321;2;3;6;0;2
Bangladesh;BGD;1990;24412;6171;6422;5977;15150;99476;161413;172092;5582;168188;11352;87248;189795;75019;54756;717;771;18651
Barbados;BRB;1990;151;26;89;69;66;6;37;11;3;1;38;135;152;3;8;3;0;1
Belarus;BLR;1990;10840;2224;10480;6194;3608;36;588;208;4270;924;2003;20601;11708;26;58;370;3;64
